instance_id,box_id,length,width,height
0,0,28.4,20.2,12.0
0,1,34.0,21.0,12.0
0,2,28.4,20.2,12.0
0,3,28.4,20.2,12.0
1,0,21.0,19.0,1.5
1,1,25.2,17.2,3.6
2,0,30.9,28.2,8.9
2,1,33.6,21.7,12.0
3,0,41.5,15.0,2.0
3,1,32.4,17.7,11.8
3,2,32.4,17.7,11.8
3,3,32.4,17.7,11.8
3,4,32.4,17.7,11.8
3,5,32.4,17.7,11.8
4,0,37.8,13.2,4.4
4,1,32.0,23.4,12.2
4,2,37.8,13.2,4.4
4,3,31.8,23.4,12.2
4,4,32.0,23.0,12.0
5,0,32.0,26.0,1.0
5,1,37.3,31.1,2.0
5,2,45.1,41.4,5.6
5,3,28.4,21.8,10.4
6,0,50.0,39.0,4.0
6,1,50.0,39.0,4.0
6,2,30.5,21.0,11.5
7,0,37.0,32.0,2.0
7,1,31.0,21.6,11.4
7,2,36.0,24.0,0.9
7,3,30.0,22.0,12.0
8,0,26.0,16.2,4.0
8,1,15.1,8.4,4.0
8,2,26.6,21.3,5.0
8,3,28.0,21.0,4.0
8,4,26.0,13.0,0.5
8,5,10.0,7.4,4.1
9,0,28.0,24.0,5.2
9,1,33.4,21.0,11.4
9,2,30.1,18.9,10.6
10,0,37.8,13.2,4.4
10,1,36.6,23.2,4.6
10,2,37.8,13.2,4.4
10,3,37.8,13.2,4.4
10,4,32.0,22.8,12.0
11,0,50.7,33.9,8.4
11,1,31.8,23.0,12.0
12,0,49.0,40.0,5.9
12,1,34.0,21.0,12.0
13,0,24.0,22.5,2.5
13,1,24.0,22.5,2.5
13,2,26.0,21.0,1.6
13,3,33.6,20.8,11.4
13,4,35.2,24.6,13.4
13,5,26.0,21.0,1.6
14,0,38.0,28.0,3.6
14,1,38.0,28.0,3.6
14,2,34.4,23.6,12.4
15,0,11.1,7.7,4.8
15,1,23.1,17.4,11.6
15,2,25.0,19.6,12.0
16,0,28.0,20.0,2.0
16,1,33.4,20.2,11.4
16,2,40.0,30.0,1.1
17,0,28.0,22.0,0.6
17,1,30.0,27.0,0.9
17,2,34.41,23.44,12.07
17,3,31.0,25.0,1.0
18,0,28.0,22.5,1.4
18,1,25.2,18.6,9.4
19,0,13.0,10.4,3.8
19,1,31.0,21.6,11.4
20,0,27.5,21.0,3.5
20,1,9.5,6.0,3.3
20,2,23.2,17.9,12.0
21,0,35.5,28.5,2.8
21,1,30.8,19.8,11.5
21,2,30.8,19.8,11.5
22,0,39.0,28.0,1.4
22,1,35.0,23.2,11.4
23,0,52.0,24.0,7.6
23,1,34.5,23.3,12.3
23,2,34.5,23.3,12.3
24,0,37.0,20.0,1.8
24,1,33.5,20.8,11.7
24,2,31.8,23.0,12.0
25,0,41.5,15.0,2.0
25,1,41.5,15.0,2.0
25,2,33.2,20.8,11.5
25,3,33.2,20.8,11.5
26,0,10.4,7.0,3.4
26,1,36.0,26.8,12.0
27,0,34.0,28.0,2.8
27,1,32.5,20.9,14.0
27,2,33.2,20.8,11.5
28,0,37.8,13.2,4.4
28,1,37.8,13.2,4.4
28,2,37.8,13.2,4.4
28,3,37.8,13.2,4.4
28,4,37.8,13.2,4.4
28,5,37.8,13.2,4.4
28,6,37.8,13.2,4.4
28,7,37.8,13.2,4.4
28,8,37.8,13.2,4.4
28,9,30.0,21.4,11.6
28,10,30.0,21.4,11.6
28,11,30.0,21.4,11.6
29,0,35.2,26.7,6.2
29,1,29.6,21.8,10.6
30,0,49.0,40.0,5.9
30,1,34.2,23.4,12.0
30,2,34.2,23.4,12.0
31,0,28.0,22.0,0.6
31,1,34.8,23.8,12.6
31,2,34.8,23.8,12.6
32,0,37.5,29.6,2.3
32,1,33.0,21.0,11.5
32,2,37.5,29.6,2.3
33,0,38.0,29.0,3.6
33,1,34.5,23.3,12.3
33,2,33.6,24.0,12.0
34,0,28.5,23.8,4.0
34,1,26.8,20.2,10.0
35,0,32.0,28.5,7.6
35,1,35.2,24.2,13.0
36,0,37.8,13.2,4.4
36,1,37.8,13.2,4.4
36,2,37.8,13.2,4.4
36,3,37.8,13.2,4.4
36,4,37.8,13.2,4.4
36,5,37.8,13.2,4.4
36,6,37.8,13.2,4.4
36,7,37.8,13.2,4.4
36,8,37.8,13.2,4.4
36,9,30.0,21.4,11.6
36,10,30.0,21.4,11.6
36,11,30.0,21.4,11.6
37,0,29.8,22.0,10.0
37,1,35.4,23.6,12.4
38,0,26.5,20.8,5.0
38,1,27.0,18.2,1.0
38,2,35.0,23.0,12.0
39,0,30.5,28.5,7.8
39,1,34.1,20.1,14.9
40,0,26.4,22.3,4.0
40,1,27.7,22.5,16.6
40,2,24.6,24.4,8.7
40,3,31.5,25.8,2.0
40,4,27.8,27.4,4.0
41,0,41.5,15.0,2.0
41,1,36.0,23.5,12.3
41,2,36.0,23.5,12.3
41,3,36.0,23.5,12.3
42,0,35.2,26.7,6.2
42,1,33.3,20.5,11.1
43,0,26.0,24.0,6.0
43,1,29.0,18.5,10.5
44,0,28.0,17.0,5.0
44,1,39.0,28.0,0.5
44,2,38.4,31.0,2.3
44,3,26.0,13.2,6.6
44,4,36.3,24.1,12.6
44,5,30.7,27.4,4.0
44,6,30.5,28.2,4.0
44,7,29.0,22.0,4.0
44,8,22.6,18.1,4.0
44,9,31.9,24.4,4.0
44,10,30.0,23.5,5.0
44,11,22.6,18.1,4.0
44,12,22.6,18.1,4.0
45,0,39.0,29.0,1.1
45,1,30.2,16.2,12.4
45,2,40.0,30.0,1.2
45,3,8.5,12.0,3.2
45,4,39.0,29.0,1.1
46,0,36.0,30.0,1.0
46,1,30.0,21.0,0.5
46,2,30.8,19.8,11.2
46,3,27.5,24.0,1.8
46,4,41.0,30.0,1.0
46,5,51.8,41.9,6.7
47,0,38.0,29.0,1.0
47,1,34.0,28.0,2.7
47,2,30.7,18.3,12.6
47,3,38.0,29.0,1.0
48,0,50.0,39.0,4.0
48,1,50.0,39.0,4.0
48,2,30.5,21.0,11.5
49,0,27.8,23.5,5.7
49,1,31.6,21.2,15.6
50,0,38.0,27.0,4.4
